country,iso3,who_region,continents,data_source,date_updated,total_vaccinations,persons_vaccinated_1plus_dose,total_vaccinations_per100,persons_vaccinated_1plus_dose_per100,persons_fully_vaccinated,persons_fully_vaccinated_per100,vaccines_used,first_vaccine_date,number_vaccines_types_used,persons_booster_add_dose,persons_booster_add_dose_per100
New Caledonia,NCL,WPRO,Asian,REPORTING,9/26/2022,469252,191568,164.363,67.1,184013,64.453,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",1/20/2021,2,93671,32.81
New Zealand,NZL,WPRO,Asian,REPORTING,10/28/2022,11835929,4254180,245.445,88.22,4094262,84.904,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/19/2021,4,2710756,56.214
Niue,NIU,WPRO,Asian,REPORTING,8/2/2022,4180,1650,258.344,101.978,1436,88.752,Pfizer BioNTech - Comirnaty,6/8/2021,1,1094,67.614
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,Asian,REPORTING,9/19/2022,115886,46340,201.341,80.511,45046,78.263,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/19/2020,3,24500,42.566
Palau,PLW,WPRO,Asian,REPORTING,9/6/2022,50160,20094,277.25,111.066,18403,101.719,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/3/2021,3,12856,71.059
Papua New Guinea,PNG,WPRO,Asian,REPORTING,10/30/2022,494272,359043,5.524,4.013,299124,3.343,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3/30/2021,4,29053,0.325
Philippines,PHL,WPRO,Asian,REPORTING,10/27/2022,167964363,78042080,153.279,71.219,73524190,67.096,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/1/2021,11,20561136,18.763
Pitcairn Islands,PCN,WPRO,Asian,REPORTING,2/28/2022,138,55,276,110,37,74,AstraZeneca - Vaxzevria,5/17/2021,1,23,46
Republic of Korea,KOR,WPRO,Asian,REPORTING,9/30/2022,130834289,45113628,255.191,87.994,44678807,87.146,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/26/2021,5,33600655,65.538
Samoa,WSM,WPRO,Asian,REPORTING,9/26/2022,440413,191071,221.967,96.299,177489,89.454,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",4/18/2021,2,71853,36.214
Singapore,SGP,WPRO,Asian,REPORTING,9/28/2022,14695435,5161367,251.189,88.223,5120432,87.524,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4,4413636,75.442
Viet Nam,VNM,WPRO,Asian,REPORTING,10/27/2022,261694006,90063216,268.849,92.526,84448184,86.757,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3/8/2021,6,56525745,58.071
Albania,ALB,EURO,Europe,REPORTING,10/23/2022,2996383,1339532,104.1,47.068,1266511,44.502,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/13/2021,5,365389,12.839
Andorra,AND,EURO,Europe,REPORTING,10/16/2022,154320,57898,199.7,76.005,53482,70.208,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/20/2021,3,42940,56.369
Armenia,ARM,EURO,Europe,REPORTING,5/22/2022,2150112,1129669,72.6,38.123,985807,33.268,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",6/16/2021,8,40725,1.374
Austria,AUT,EURO,Europe,REPORTING,10/16/2022,19596170,6889593,220.2,77.507,6671600,74.953,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/30/2020,6,5359031,60.207
Azerbaijan,AZE,EURO,Europe,REPORTING,10/30/2022,13772103,5413441,135.8,53.391,4875219,48.083,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/20/2021,5,3483445,34.356
Belarus,BLR,EURO,Europe,REPORTING,10/16/2022,16102869,6512843,170.4,68.924,6407148,67.805,"Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light",2/3/2021,4,3414776,36.138
Belgium,BEL,EURO,Europe,REPORTING,10/16/2022,28259334,9248836,245.3,80.268,9152369,79.431,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4,7222211,62.68
Bosnia and Herzegovina,BIH,EURO,Europe,REPORTING,1/29/2022,1924950,943394,58.7,28.755,846080,25.789,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4,,
Bulgaria,BGR,EURO,Europe,REPORTING,10/16/2022,4566807,2103303,65.7,30.257,2074596,29.844,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4,814226,11.713
Croatia,HRV,EURO,Europe,REPORTING,10/16/2022,5356347,2317443,132,57.14,2244157,55.3,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,6,954118,23.511
Cyprus,CYP,EURO,Europe,REPORTING,10/16/2022,1824911,667243,205.5,75.14,655639,73.833,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,485225,54.642
Czechia,CZE,EURO,Europe,REPORTING,10/16/2022,18215235,6967841,170.3,65.157,6882776,64.361,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,4330325,40.493
Denmark,DNK,EURO,Europe,REPORTING,10/16/2022,13189213,4808729,226.5,82.585,4771093,81.939,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/16/2020,5,3655731,62.783
Estonia,EST,EURO,Europe,REPORTING,10/16/2022,2152705,844142,162,63.518,834837,62.818,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,481619,36.24
Faroe Islands,FRO,EURO,Europe,OWID,2/18/2022,103894,41715,212.614,85.368,40895,83.69,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2,21284,43.557
Finland,FIN,EURO,Europe,REPORTING,10/16/2022,12916648,4542768,233.8,82.218,4358358,78.88,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,5,3055298,55.297
France,FRA,EURO,Europe,REPORTING,10/16/2022,153069144,53664707,227.4,79.716,52157654,77.477,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/30/2020,6,40710314,60.473
Georgia,GEO,EURO,Europe,REPORTING,10/16/2022,2722928,1294396,68.3,32.448,1180078,29.582,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/17/2021,4,248454,6.228
Germany,DEU,EURO,Europe,REPORTING,10/16/2022,186739714,64797946,224.5,77.913,64887422,78.021,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,6,51811037,62.298
Gibraltar,GIB,EURO,Europe,OWID,4/21/2022,119855,42074,355.748,124.882,41421,122.944,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2,36360,107.922
Greece,GRC,EURO,Europe,REPORTING,10/16/2022,21583328,7910910,201.4,73.806,7735464,72.169,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,5876425,54.825
Greenland,GRL,EURO,Europe,OWID,3/7/2022,79745,41243,140.465,72.647,38502,67.819,Moderna - mRNA-1273,,1,,
Guernsey,GGY,EURO,Europe,OWID,7/12/2022,157708,,244.63,,,,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3,,
Hungary,HUN,EURO,Europe,REPORTING,10/16/2022,16490460,6354545,168.8,65.045,6148113,62.932,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/23/2020,7,3861064,39.522
Iceland,ISL,EURO,Europe,REPORTING,10/9/2022,851665,307089,233.9,84.335,297677,81.749,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4,253289,69.559
Ireland,IRL,EURO,Europe,REPORTING,10/9/2022,11663862,4040268,234.9,83.929,4005217,80.678,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/30/2020,5,3025769,60.949
Isle of Man,IMN,EURO,Europe,OWID,6/23/2022,189994,69560,223.438,81.804,67106,78.919,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3,53328,62.715
Israel,ISR,EURO,Europe,REPORTING,6/5/2022,15026951,7055466,173.6,81.514,6385731,73.776,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/16/2020,3,1585754,18.321
Italy,ITA,EURO,Europe,REPORTING,10/16/2022,140212718,50437198,235.1,84.572,47513380,79.665,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,42670045,71.544
Jersey,JEY,EURO,Europe,OWID,10/30/2022,257209,84187,238.607,78.098,81635,75.731,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3,73464,68.151
Kazakhstan,KAZ,EURO,Europe,REPORTING,10/30/2022,33131977,12354337,176.5,65.796,13013295,69.306,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,RIBSP - QazVac,Sinovac - CoronaVac",4/7/2021,5,6588702,35.09
Kosovo,XKX,EURO,Europe,REPORTING,10/23/2022,1836162,904372,102.3,50.364,824562,45.92,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",3/31/2021,2,105424,5.871
Kyrgyzstan,KGZ,EURO,Europe,REPORTING,10/30/2022,3014560,1475483,46.2,22.616,1305692,20.013,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,RIBSP - QazVac",3/31/2021,6,233385,3.577
Latvia,LVA,EURO,Europe,REPORTING,9/18/2022,2847648,1303023,149.3,68.304,1271589,66.656,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/30/2020,5,541299,28.375
Lithuania,LTU,EURO,Europe,REPORTING,10/16/2022,4495684,1954870,160.9,70.118,1905239,68.188,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,5,897820,32.133
Luxembourg,LUX,EURO,Europe,REPORTING,10/16/2022,1318917,469322,210.7,74.959,462706,73.902,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/30/2020,5,367245,58.655
Malta,MLT,EURO,Europe,REPORTING,10/2/2022,1273626,450426,247.5,87.535,444814,86.445,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,4,352052,68.418
Monaco,MCO,EURO,Europe,REPORTING,9/4/2022,69256,25233,176.5,64.298,24840,63.296,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax - Covavax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",6/30/2021,6,17621,44.901
Montenegro,MNE,EURO,Europe,REPORTING,10/30/2022,526934,272598,83.9,43.835,254336,40.898,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2/24/2021,5,0,0
Netherlands,NLD,EURO,Europe,REPORTING,9/11/2022,36105753,12776868,207.4,73.398,11957152,68.689,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",1/6/2021,6,9417108,54.098
North Macedonia,MKD,EURO,Europe,REPORTING,10/16/2022,1862061,854351,89.4,41.149,837946,40.359,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2/17/2021,7,161373,7.772
Norway,NOR,EURO,Europe,REPORTING,10/16/2022,11881760,4344292,221.4,80.936,4058588,75.613,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,4,2991787,55.738
Poland,POL,EURO,Europe,REPORTING,10/16/2022,57383999,22901670,151.2,60.334,22625720,59.607,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,12426877,32.738
Portugal,PRT,EURO,Europe,REPORTING,10/16/2022,25658974,9760014,249.2,94.891,8873102,86.181,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/23/2020,8,6946902,67.472
Republic of Moldova,MDA,EURO,Europe,REPORTING,9/18/2022,2241785,1101302,55.6,27.301,1071341,26.558,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/3/2021,7,370563,9.186
Romania,ROU,EURO,Europe,REPORTING,10/16/2022,16083871,8183574,83.2,42.339,8136562,42.095,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/27/2021,4,1761712,9.114
Russian Federation,RUS,EURO,Europe,OWID,10/31/2022,180177841,85809997,123.5,58.8,77439470,53.065,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",,2,,
San Marino,SMR,EURO,Europe,REPORTING,5/22/2022,69338,26357,204.3,76.501,23633,68.595,"Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2/24/2021,2,19348,56.158
Serbia,SRB,EURO,Europe,REPORTING,9/4/2022,6717622,3396340,97,49.033,3321282,47.949,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,5,0,0
Slovakia,SVK,EURO,Europe,REPORTING,10/16/2022,7176980,2838635,131.5,52.01,2790217,51.123,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",1/6/2021,6,1683402,30.844
Slovenia,SVN,EURO,Europe,REPORTING,10/16/2022,2999524,1233013,143.1,58.831,1202504,57.375,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,654976,31.251
Spain,ESP,EURO,Europe,REPORTING,10/16/2022,103064170,41287568,217.7,87.229,37488975,79.203,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4,26001927,54.934
Sweden,SWE,EURO,Europe,REPORTING,10/16/2022,22750237,7504601,220.3,72.666,7366812,71.331,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,5,5525594,53.503
Switzerland,CHE,EURO,Europe,REPORTING,10/23/2022,16085511,6093594,185.9,70.806,5718917,66.452,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,4,4332830,50.346
Tajikistan,TJK,EURO,Europe,REPORTING,8/21/2022,15441380,5282863,161.9,55.39,5120562,53.688,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/24/2021,6,4951036,51.91
The United Kingdom,GBR,EURO,Europe,REPORTING,9/11/2022,151248820,53813491,222.8,79.068,50762968,74.586,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/21/2020,3,,
Turkey,TUR,EURO,Europe,OWID,11/1/2022,152465212,57936171,,69.673,53171054,63.942,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Turkovac",,3,,
Turkmenistan,TKM,EURO,Europe,REPORTING,9/4/2022,13514000,3728000,224.1,61.812,3689000,61.165,"Anhui ZL - Zifivax,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,RIBSP - QazVac,SRCVB - EpiVacCorona,Unknown Vaccine",2/24/2021,7,3340000,55.379
Ukraine,UKR,EURO,Europe,REPORTING,2/27/2022,31668577,15774300,72.4,36.069,15153577,34.65,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/24/2021,6,741197,1.695
Uzbekistan,UZB,EURO,Europe,REPORTING,10/30/2022,70696770,21247096,211.2,63.483,17529078,52.374,"Anhui ZL - Zifivax,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,Unknown Vaccine",4/28/2021,8,14528732,43.409
Liechtenstein,LIE,OTHER,Europe,REPORTING,4/10/2022,71104,26681,183.5,68.86,26346,67.995,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/6/2021,3,18310,47.255
Australia,AUS,WPRO,Europe,REPORTING,9/28/2022,63461493,22443557,248.87,88.014,21784904,85.431,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/21/2021,5,14265648,55.944
Solomon Islands,SLB,WPRO,Europe,REPORTING,10/23/2022,546180,317229,79.516,46.184,215161,31.324,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",3/23/2021,4,16391,2.386
Tokelau,TKL,WPRO,Europe,REPORTING,9/5/2022,4924,1494,364.741,110.667,1494,110.667,Pfizer BioNTech - Comirnaty,7/20/2021,1,968,71.704
Tonga,TON,WPRO,Europe,REPORTING,10/28/2022,203117,87198,192.173,82.5,76825,72.686,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",4/14/2021,2,38137,36.082
Tuvalu,TUV,WPRO,Europe,REPORTING,8/31/2022,25591,9603,217.02,81.437,9322,79.054,AstraZeneca - Vaxzevria,4/13/2021,1,5528,46.879
Vanuatu,VUT,WPRO,Europe,REPORTING,8/28/2022,292146,144290,95.117,46.978,131300,42.749,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S",6/2/2021,3,16556,5.39
Wallis and Futuna,WLF,WPRO,Europe,REPORTING,7/26/2022,16782,6592,149.226,58.616,6989,62.147,Moderna - Spikevax,3/19/2021,1,3201,28.463
